project,technology,operational_type,balancing_type_project,variable_om_cost_per_mwh,project_fuel_scenario_id,heat_rate_curves_scenario_id,variable_om_curves_scenario_id,startup_chars_scenario_id,min_stable_level_fraction,unit_size_mw,startup_cost_per_mw,shutdown_cost_per_mw,startup_fuel_mmbtu_per_mw,startup_plus_ramp_up_rate,shutdown_plus_ramp_down_rate,ramp_up_when_on_rate,ramp_down_when_on_rate,ramp_up_violation_penalty,ramp_down_violation_penalty,min_up_time_hours,min_up_time_violation_penalty,min_down_time_hours,min_down_time_violation_penalty,cycle_selection_scenario_id,supplemental_firing_scenario_id,allow_startup_shutdown_power,charging_efficiency,discharging_efficiency,charging_capacity_multiplier,discharging_capacity_multiplier,minimum_duration_hours,maximum_duration_hours,aux_consumption_frac_capacity,aux_consumption_frac_power,last_commitment_stage,variable_generator_profile_scenario_id,curtailment_cost_per_pwh,hydro_operational_chars_scenario_id,lf_reserves_up_derate,lf_reserves_down_derate,regulation_up_derate,regulation_down_derate,frequency_response_derate,spinning_reserves_derate,lf_reserves_up_ramp_rate,lf_reserves_down_ramp_rate,regulation_up_ramp_rate,regulation_down_ramp_rate,frequency_response_ramp_rate,spinning_reserves_ramp_rate,powerunithour_per_fuelunit,cap_factor_limits_scenario_id
Bhusawal3,Genco_Coal,gen_commit_cap,month,4495.74917,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.1096,,,,,,,,,,,,,,,,,,
Bhusawal4,Genco_Coal,gen_commit_cap,month,4241.641608,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal5,Genco_Coal,gen_commit_cap,month,4241.641608,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Bhusawal6,Genco_Coal,gen_commit_cap,month,4489.640815,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Chandrapur3,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur4,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur5,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur6,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur7,Genco_Coal,gen_commit_cap,month,3138.879946,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0867,,,,,,,,,,,,,,,,,,
Chandrapur8,Genco_Coal,gen_commit_cap,month,3272.449305,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Chandrapur9,Genco_Coal,gen_commit_cap,month,3272.449305,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.0525,,,,,,,,,,,,,,,,,,
Khaperkheda1,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda2,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda3,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda4,Genco_Coal,gen_commit_cap,month,3868.624739,,,,,0.55,210,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,,,,,,,,,,,,,,,,
Khaperkheda5,Genco_Coal,gen_commit_cap,month,3430.452084,,,,,0.55,500,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,
Koradi10,Genco_Coal,gen_commit_cap,month,3632.435018,,,,,0.55,660,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,
